complaint_id,true_product,baseline_pred,llm_raw_output,llm_pred,latency_s,error
9896080,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,4.9339776039123535,
9921052,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.0629751682281494,
9936061,Checking or savings account,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",3.9578118324279785,
9970261,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.0072615146636963,
9895342,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,3.8932862281799316,
9959461,Checking or savings account,Vehicle loan or lease,Credit card,Credit card,6.0239622592926025,
9969254,Credit card,Credit card,Credit card,Credit card,2.883485794067383,
9992387,Credit card,Vehicle loan or lease,Mortgage,Mortgage,3.027146100997925,
9933819,Credit card,Credit card,Credit card,Credit card,1.9221608638763428,
9908006,Credit card,Credit card,Credit card,Credit card,1.6991400718688965,
9989650,Credit card,Credit card,Credit card,Credit card,1.4103846549987793,
9936952,Credit card,Checking or savings account,Credit card,Credit card,1.2298827171325684,
9975877,Credit card,Credit card,Credit card,Credit card,1.1117603778839111,
9922260,Credit card,Credit card,Credit card,Credit card,1.4457478523254395,
9979939,Credit card,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.395742416381836,
9942307,Credit card,Credit card,Credit card,Credit card,1.5518362522125244,
9954648,Credit card,Student loan,Credit card,Credit card,1.8628125190734863,
9984866,Credit card,Checking or savings account,Credit card,Credit card,3.347801923751831,
9934185,Credit card,Credit card,Credit card,Credit card,1.0479819774627686,
9984877,Credit card,Credit card,Credit card,Credit card,1.2422118186950684,
9937953,Credit card,Vehicle loan or lease,Credit card,Credit card,1.4653019905090332,
9965785,Credit card,Credit card,Credit card,Credit card,2.124997615814209,
9926002,Credit card,Credit card,Credit card,Credit card,2.358332872390747,
9993248,Credit card,Credit card,Credit card,Credit card,1.3596560955047607,
9999322,Credit card,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.229278802871704,
9995922,Credit card,Credit card,Credit card,Credit card,2.132199287414551,
9948788,Credit card,Credit card,Credit card,Credit card,1.9063770771026611,
9923985,Credit card,Credit card,Credit card,Credit card,1.139899730682373,
9985585,Credit card,Credit card,Credit card,Credit card,1.8666224479675293,
9989945,Credit card,Credit card,,,5.203229665756226,503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-3.1-flash-lite:generateContent
9962157,Credit card,Credit card,Credit card,Credit card,1.5915594100952148,
9925518,Credit card,Credit card,Credit card,Credit card,1.462446928024292,
9950065,Credit card,Credit card,Credit card,Credit card,0.7892971038818359,
9921080,Credit card,Credit card,Credit card,Credit card,1.8538072109222412,
9984903,Credit card,"Money transfer, virtual currency, or money service",Credit card,Credit card,1.6990790367126465,
9959712,Credit card,Credit card,Credit card,Credit card,4.718652725219727,
9950537,Credit card,Credit card,Credit card,Credit card,1.1031839847564697,
9924652,Credit card,Credit card,Credit card,Credit card,1.2557909488677979,
9987539,Credit card,Credit card,Credit card,Credit card,3.8341867923736572,
9939854,Credit card,Credit card,Credit card,Credit card,7.258613348007202,
9955649,Credit card,Credit card,Credit card,Credit card,1.3109006881713867,
9933894,Credit card,Credit card,Credit card,Credit card,0.8835287094116211,
9934517,Credit card,Credit card,Credit card,Credit card,1.1959099769592285,
9923161,Credit card,Checking or savings account,Credit card,Credit card,3.099669933319092,
9910522,Credit card,Credit card,Credit card,Credit card,1.24350905418396,
9984744,Credit card,Credit card,Credit card,Credit card,2.1023707389831543,
9801919,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,1.503934383392334,
9893184,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.209630012512207,
9912396,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,1.4368717670440674,
9978209,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,1.6704187393188477,
9753633,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.3063278198242188,
9994900,"Money transfer, virtual currency, or money service",Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.4270298480987549,
9724224,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.058872938156128,
9921786,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.1120290756225586,
9824444,"Money transfer, virtual currency, or money service",Checking or savings account,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.3925189971923828,
9742665,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.246387243270874,
9802151,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,1.2106950283050537,
9911207,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,1.116136074066162,
9805125,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.0943496227264404,
9885030,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.5175068378448486,
9730782,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.7123823165893555,
9729572,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.0271930694580078,
9755195,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.2955427169799805,
9919756,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.4324798583984375,
9843758,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.9591317176818848,
9743675,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.6292479038238525,
9949983,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.2528233528137207,
9824502,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.4716997146606445,
9823332,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.7883679866790771,
9828793,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.728290319442749,
9735246,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.4244816303253174,
9877888,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.414720058441162,
9893011,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.7218914031982422,
9814842,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,1.72015380859375,
9801917,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,2.6638646125793457,
9728482,"Money transfer, virtual currency, or money service",Checking or savings account,Credit card,Credit card,2.683534622192383,
9910840,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.0043795108795166,
9825057,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",5.2684102058410645,
9778355,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,3.988044500350952,
9986228,"Money transfer, virtual currency, or money service",Vehicle loan or lease,Mortgage,Mortgage,2.996591091156006,
9816706,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",4.421884775161743,
9811436,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,Checking or savings account,3.463949680328369,
9777510,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",2.3093864917755127,
9953541,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",5.50340723991394,
9975895,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",3.544311046600342,
9998902,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,3.5488078594207764,
9858246,Mortgage,Mortgage,Mortgage,Mortgage,4.255159616470337,
9875759,Mortgage,Mortgage,Mortgage,Mortgage,1.8427538871765137,
9927781,Mortgage,Mortgage,Mortgage,Mortgage,4.611230850219727,
9786100,Mortgage,Mortgage,Mortgage,Mortgage,3.360271692276001,
9927439,Mortgage,Mortgage,Mortgage,Mortgage,1.6513299942016602,
9866358,Mortgage,Mortgage,Mortgage,Mortgage,3.900940418243408,
9813473,Mortgage,Mortgage,Mortgage,Mortgage,1.2154006958007812,
9910673,Mortgage,Mortgage,Mortgage,Mortgage,1.0951509475708008,
9858770,Mortgage,Mortgage,Mortgage,Mortgage,1.3456714153289795,
9909379,Mortgage,Mortgage,Mortgage,Mortgage,2.8355329036712646,
9874021,Mortgage,Mortgage,Mortgage,Mortgage,1.346898078918457,
9788489,Mortgage,Mortgage,Mortgage,Mortgage,1.2097623348236084,
9801393,Mortgage,Mortgage,Mortgage,Mortgage,3.3811144828796387,
9891380,Mortgage,Mortgage,Mortgage,Mortgage,1.1931190490722656,
9845852,Mortgage,Mortgage,Mortgage,Mortgage,1.3076958656311035,
9844893,Mortgage,Mortgage,Mortgage,Mortgage,1.2294516563415527,
9958859,Mortgage,Mortgage,Mortgage,Mortgage,3.21720027923584,
9965872,Mortgage,Mortgage,Mortgage,Mortgage,1.8296070098876953,
9949974,Mortgage,Mortgage,Mortgage,Mortgage,1.760770559310913,
9952751,Mortgage,Vehicle loan or lease,Mortgage,Mortgage,0.8738245964050293,
9943036,Mortgage,Mortgage,Mortgage,Mortgage,8.51541018486023,
9862438,Mortgage,Mortgage,Mortgage,Mortgage,2.5957415103912354,
9928958,Mortgage,Mortgage,Mortgage,Mortgage,2.58077335357666,
9808661,Mortgage,Mortgage,Mortgage,Mortgage,3.191176652908325,
9835057,Mortgage,Mortgage,Mortgage,Mortgage,2.079629421234131,
9880310,Mortgage,Mortgage,Mortgage,Mortgage,2.3693768978118896,
9982387,Mortgage,Mortgage,Mortgage,Mortgage,1.0995221138000488,
9927371,Mortgage,Mortgage,Mortgage,Mortgage,2.897233486175537,
9803268,Mortgage,Mortgage,Mortgage,Mortgage,3.351494550704956,
9823823,Mortgage,Mortgage,Mortgage,Mortgage,2.776897668838501,
9804318,Mortgage,Mortgage,Mortgage,Mortgage,2.120992422103882,
9851842,Mortgage,Mortgage,Mortgage,Mortgage,10.831473112106323,
9896119,Mortgage,Mortgage,Mortgage,Mortgage,2.6188371181488037,
9824600,Mortgage,Mortgage,Mortgage,Mortgage,2.5350029468536377,
9992500,Mortgage,Mortgage,Mortgage,Mortgage,4.255528688430786,
9861605,Mortgage,Mortgage,Mortgage,Mortgage,1.834165334701538,
9890869,Mortgage,Mortgage,Mortgage,Mortgage,2.8160407543182373,
9844822,Mortgage,Mortgage,Mortgage,Mortgage,6.351583242416382,
9825038,Mortgage,Mortgage,Mortgage,Mortgage,2.3605504035949707,
9808652,Mortgage,Credit card,Mortgage,Mortgage,1.1125073432922363,
9892619,Student loan,Student loan,Student loan,Student loan,1.1801464557647705,
9626925,Student loan,Student loan,Student loan,Student loan,1.0618295669555664,
9909491,Student loan,Mortgage,Student loan,Student loan,1.3928544521331787,
9777948,Student loan,Student loan,Student loan,Student loan,3.1147093772888184,
9981296,Student loan,Student loan,Student loan,Student loan,2.49170184135437,
9959699,Student loan,Student loan,Student loan,Student loan,1.4394245147705078,
9840590,Student loan,Student loan,Student loan,Student loan,1.9059481620788574,
9928000,Student loan,Student loan,Student loan,Student loan,3.761941909790039,
9953277,Student loan,Student loan,Student loan,Student loan,1.7571899890899658,
9639642,Student loan,Student loan,Student loan,Student loan,1.8603272438049316,
9768866,Student loan,Student loan,Student loan,Student loan,2.140526056289673,
9608590,Student loan,Student loan,Student loan,Student loan,1.8585426807403564,
9959178,Student loan,Student loan,Student loan,Student loan,1.360562801361084,
9906286,Student loan,Student loan,Student loan,Student loan,3.3158724308013916,
9644539,Student loan,Mortgage,Student loan,Student loan,2.0210659503936768,
9787497,Student loan,Student loan,Student loan,Student loan,6.214392900466919,
9883226,Student loan,Student loan,Student loan,Student loan,2.168001651763916,
9777295,Student loan,Student loan,Student loan,Student loan,1.8688981533050537,
9566404,Student loan,Student loan,Student loan,Student loan,2.5728650093078613,
9776980,Student loan,Student loan,Student loan,Student loan,1.961348533630371,
9827556,Student loan,Student loan,Student loan,Student loan,10.421865701675415,
9860502,Student loan,Student loan,Student loan,Student loan,2.711117744445801,
9761537,Student loan,Student loan,Student loan,Student loan,2.3660244941711426,
9903168,Student loan,Student loan,Student loan,Student loan,1.3868858814239502,
9603498,Student loan,Student loan,Student loan,Student loan,2.0104892253875732,
9756006,Student loan,Student loan,Student loan,Student loan,1.9110119342803955,
9550629,Student loan,Student loan,Student loan,Student loan,2.3132259845733643,
9963387,Student loan,Student loan,Student loan,Student loan,3.062370538711548,
9755274,Student loan,Student loan,Student loan,Student loan,4.260837554931641,
9927689,Student loan,Student loan,Student loan,Student loan,1.6019072532653809,
9619936,Student loan,Student loan,Student loan,Student loan,1.697655439376831,
9592691,Student loan,Student loan,Student loan,Student loan,3.297212600708008,
9796370,Student loan,Student loan,Student loan,Student loan,2.0696098804473877,
9703428,Student loan,Student loan,Student loan,Student loan,1.7193984985351562,
9613453,Student loan,Student loan,Student loan,Student loan,3.757094144821167,
9635658,Student loan,Student loan,Student loan,Student loan,1.1956348419189453,
9639574,Student loan,Student loan,Student loan,Student loan,1.8064720630645752,
9655541,Student loan,Student loan,Student loan,Student loan,2.831190824508667,
9708284,Student loan,Student loan,Student loan,Student loan,2.528357982635498,
9981727,Student loan,Student loan,Student loan,Student loan,4.27334189414978,
9989479,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,0.8954215049743652,
9956980,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.8331384658813477,
9785175,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.7850315570831299,
9629104,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.117915630340576,
9775372,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.8076562881469727,
9988601,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.2001831531524658,
9765870,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.0552680492401123,
9655084,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.3753843307495117,
9739263,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.304180383682251,
9860996,Vehicle loan or lease,"Money transfer, virtual currency, or money service",Vehicle loan or lease,Vehicle loan or lease,1.8089745044708252,
9933901,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,3.2498462200164795,
9720718,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.2917160987854004,
9757644,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.4579081535339355,
9962434,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.169386386871338,
9939378,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,4.9840171337127686,
9776804,Vehicle loan or lease,Vehicle loan or lease,Mortgage,Mortgage,1.509345293045044,
9696856,Vehicle loan or lease,Mortgage,Vehicle loan or lease,Vehicle loan or lease,1.3748080730438232,
9757924,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.760075807571411,
9903786,Vehicle loan or lease,Checking or savings account,Vehicle loan or lease,Vehicle loan or lease,2.1733882427215576,
9846589,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.8619482517242432,
9929683,Vehicle loan or lease,Credit card,Checking or savings account,Checking or savings account,1.4257597923278809,
9642628,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,0.9248495101928711,
9923263,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.739778757095337,
9939838,Vehicle loan or lease,Vehicle loan or lease,Credit card,Credit card,1.508674144744873,
9681643,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,8.477011442184448,
9899367,Vehicle loan or lease,"Money transfer, virtual currency, or money service",Credit card,Credit card,1.1869258880615234,
9803105,Vehicle loan or lease,Vehicle loan or lease,Credit card,Credit card,1.8013381958007812,
9999530,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,3.0026981830596924,
9912161,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.1053836345672607,
9823168,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.490825653076172,
9822686,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.0185763835906982,
9784591,Vehicle loan or lease,Mortgage,Vehicle loan or lease,Vehicle loan or lease,1.3990962505340576,
9656791,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,4.648874759674072,
9923536,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.0039572715759277,
9733758,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,1.3240010738372803,
9936479,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.012305498123169,
9670760,Vehicle loan or lease,"Money transfer, virtual currency, or money service",Vehicle loan or lease,Vehicle loan or lease,1.589209794998169,
9719493,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.0295348167419434,
9682372,Vehicle loan or lease,Mortgage,Vehicle loan or lease,Vehicle loan or lease,1.2668509483337402,
9928441,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,Vehicle loan or lease,2.360387086868286,
